FIGURE,SETTING,INDICATOR,GROUP,SUBGROUP,TIME,START_TIME,END_TIME,VALUE,MEASURE
0,ED,,,,13,01/01/2024,01/31/2024,275403,Count
0,ED,,,,14,02/01/2024,02/29/2024,264721,Count
0,ED,,,,15,03/01/2024,03/31/2024,272925,Count
0,ED,,,,16,04/01/2024,04/30/2024,270794,Count
0,ED,,,,17,05/01/2024,05/31/2024,283133,Count
0,ED,,,,18,06/01/2024,06/30/2024,266191,Count
0,ED,,,,19,07/01/2024,07/31/2024,275056,Count
0,ED,,,,20,08/01/2024,08/31/2024,277496,Count
0,ED,,,,21,09/01/2024,09/30/2024,276604,Count
0,ED,,,,22,10/01/2024,10/31/2024,280421,Count
0,ED,,,,23,11/01/2024,11/30/2024,265357,Count
0,ED,,,,24,12/01/2024,12/31/2024,277739,Count
1,ED,All Drugs,Age,0-15 Years,1,01/01/2023,01/31/2023,6.141356609,Percent
1,ED,All Opioids,Age,0-15 Years,1,01/01/2023,01/31/2023,0.062874473,Percent
1,ED,Stimulants,Age,0-15 Years,1,01/01/2023,01/31/2023,0.040683483,Percent
1,ED,Cannabis,Age,0-15 Years,1,01/01/2023,01/31/2023,0.362452844,Percent
1,ED,Benzodiazepine,Age,0-15 Years,1,01/01/2023,01/31/2023,0.012944744,Percent
1,ED,All Drugs,Age,0-15 Years,2,02/01/2023,02/28/2023,6.048135913,Percent
1,ED,All Opioids,Age,0-15 Years,2,02/01/2023,02/28/2023,0.035865975,Percent
1,ED,Stimulants,Age,0-15 Years,2,02/01/2023,02/28/2023,0.028315243,Percent
1,ED,Cannabis,Age,0-15 Years,2,02/01/2023,02/28/2023,0.24351109,Percent
1,ED,Benzodiazepine,Age,0-15 Years,2,02/01/2023,02/28/2023,0.01321378,Percent
1,ED,All Drugs,Age,0-15 Years,3,03/01/2023,03/31/2023,5.914652532,Percent
1,ED,All Opioids,Age,0-15 Years,3,03/01/2023,03/31/2023,0.046022249,Percent
1,ED,Stimulants,Age,0-15 Years,3,03/01/2023,03/31/2023,0.049196198,Percent
1,ED,Cannabis,Age,0-15 Years,3,03/01/2023,03/31/2023,0.303112056,Percent
1,ED,Benzodiazepine,Age,0-15 Years,3,03/01/2023,03/31/2023,0.014282767,Percent
1,ED,All Drugs,Age,0-15 Years,4,04/01/2023,04/30/2023,5.606045474,Percent
1,ED,All Opioids,Age,0-15 Years,4,04/01/2023,04/30/2023,0.036619062,Percent
1,ED,Stimulants,Age,0-15 Years,4,04/01/2023,04/30/2023,0.036619062,Percent
1,ED,Cannabis,Age,0-15 Years,4,04/01/2023,04/30/2023,0.292952495,Percent
1,ED,Benzodiazepine,Age,0-15 Years,4,04/01/2023,04/30/2023,0.009987017,Percent
1,ED,All Drugs,Age,0-15 Years,5,05/01/2023,05/31/2023,5.434293429,Percent
1,ED,All Opioids,Age,0-15 Years,5,05/01/2023,05/31/2023,0.028931465,Percent
1,ED,Stimulants,Age,0-15 Years,5,05/01/2023,05/31/2023,0.036967983,Percent
1,ED,Cannabis,Age,0-15 Years,5,05/01/2023,05/31/2023,0.350392182,Percent
1,ED,Benzodiazepine,Age,0-15 Years,5,05/01/2023,05/31/2023,0.003214607,Percent
1,ED,All Drugs,Age,0-15 Years,6,06/01/2023,06/30/2023,5.239364327,Percent
1,ED,All Opioids,Age,0-15 Years,6,06/01/2023,06/30/2023,0.045405192,Percent
1,ED,Stimulants,Age,0-15 Years,6,06/01/2023,06/30/2023,0.027637943,Percent
1,ED,Cannabis,Age,0-15 Years,6,06/01/2023,06/30/2023,0.305991511,Percent
1,ED,Benzodiazepine,Age,0-15 Years,6,06/01/2023,06/30/2023,0.01579311,Percent
1,ED,All Drugs,Age,0-15 Years,7,07/01/2023,07/31/2023,5.348990296,Percent
1,ED,All Opioids,Age,0-15 Years,7,07/01/2023,07/31/2023,0.036098783,Percent
1,ED,Stimulants,Age,0-15 Years,7,07/01/2023,07/31/2023,0.050962988,Percent
1,ED,Cannabis,Age,0-15 Years,7,07/01/2023,07/31/2023,0.273926061,Percent
1,ED,Benzodiazepine,Age,0-15 Years,7,07/01/2023,07/31/2023,0.008493831,Percent
1,ED,All Drugs,Age,0-15 Years,8,08/01/2023,08/31/2023,5.536261071,Percent
1,ED,All Opioids,Age,0-15 Years,8,08/01/2023,08/31/2023,0.032880541,Percent
1,ED,Stimulants,Age,0-15 Years,8,08/01/2023,08/31/2023,0.034935575,Percent
1,ED,Cannabis,Age,0-15 Years,8,08/01/2023,08/31/2023,0.279484598,Percent
1,ED,Benzodiazepine,Age,0-15 Years,8,08/01/2023,08/31/2023,0.010275169,Percent
1,ED,All Drugs,Age,0-15 Years,9,09/01/2023,09/30/2023,6.109876981,Percent
1,ED,All Opioids,Age,0-15 Years,9,09/01/2023,09/30/2023,0.031734772,Percent
1,ED,Stimulants,Age,0-15 Years,9,09/01/2023,09/30/2023,0.024267767,Percent
1,ED,Cannabis,Age,0-15 Years,9,09/01/2023,09/30/2023,0.238944165,Percent
1,ED,Benzodiazepine,Age,0-15 Years,9,09/01/2023,09/30/2023,0.011200508,Percent
1,ED,All Drugs,Age,0-15 Years,10,10/01/2023,10/31/2023,5.530015103,Percent
1,ED,All Opioids,Age,0-15 Years,10,10/01/2023,10/31/2023,0.053109389,Percent
1,ED,Stimulants,Age,0-15 Years,10,10/01/2023,10/31/2023,0.034853036,Percent
1,ED,Cannabis,Age,0-15 Years,10,10/01/2023,10/31/2023,0.257248602,Percent
1,ED,Benzodiazepine,Age,0-15 Years,10,10/01/2023,10/31/2023,0.014937016,Percent
1,ED,All Drugs,Age,0-15 Years,11,11/01/2023,11/30/2023,5.219604328,Percent
1,ED,All Opioids,Age,0-15 Years,11,11/01/2023,11/30/2023,0.02400922,Percent
1,ED,Stimulants,Age,0-15 Years,11,11/01/2023,11/30/2023,0.02080799,Percent
1,ED,Cannabis,Age,0-15 Years,11,11/01/2023,11/30/2023,0.256098342,Percent
1,ED,Benzodiazepine,Age,0-15 Years,11,11/01/2023,11/30/2023,0.009603688,Percent
1,ED,All Drugs,Age,0-15 Years,12,12/01/2023,12/31/2023,5.131988851,Percent
1,ED,All Opioids,Age,0-15 Years,12,12/01/2023,12/31/2023,0.016396131,Percent
1,ED,Stimulants,Age,0-15 Years,12,12/01/2023,12/31/2023,0.020867802,Percent
1,ED,Cannabis,Age,0-15 Years,12,12/01/2023,12/31/2023,0.196753566,Percent
1,ED,Benzodiazepine,Age,0-15 Years,12,12/01/2023,12/31/2023,0.008943344,Percent
1,ED,All Drugs,Age,0-15 Years,13,01/01/2024,01/31/2024,5.356548547,Percent
1,ED,All Opioids,Age,0-15 Years,13,01/01/2024,01/31/2024,0.024523113,Percent
1,ED,Stimulants,Age,0-15 Years,13,01/01/2024,01/31/2024,0.03678467,Percent
1,ED,Cannabis,Age,0-15 Years,13,01/01/2024,01/31/2024,0.26274764,Percent
1,ED,Benzodiazepine,Age,0-15 Years,13,01/01/2024,01/31/2024,0.012261557,Percent
1,ED,All Drugs,Age,0-15 Years,14,02/01/2024,02/29/2024,5.389925592,Percent
1,ED,All Opioids,Age,0-15 Years,14,02/01/2024,02/29/2024,0.020155534,Percent
1,ED,Stimulants,Age,0-15 Years,14,02/01/2024,02/29/2024,0.021835161,Percent
1,ED,Cannabis,Age,0-15 Years,14,02/01/2024,02/29/2024,0.24354603,Percent
1,ED,Benzodiazepine,Age,0-15 Years,14,02/01/2024,02/29/2024,0.006718511,Percent
1,ED,All Drugs,Age,0-15 Years,15,03/01/2024,03/31/2024,5.019551244,Percent
1,ED,All Opioids,Age,0-15 Years,15,03/01/2024,03/31/2024,0.023495058,Percent
1,ED,Stimulants,Age,0-15 Years,15,03/01/2024,03/31/2024,0.038599023,Percent
1,ED,Cannabis,Age,0-15 Years,15,03/01/2024,03/31/2024,0.265158508,Percent
1,ED,Benzodiazepine,Age,0-15 Years,15,03/01/2024,03/31/2024,0.006712874,Percent
1,ED,All Drugs,Age,0-15 Years,16,04/01/2024,04/30/2024,5.188901082,Percent
1,ED,All Opioids,Age,0-15 Years,16,04/01/2024,04/30/2024,0.017418265,Percent
1,ED,Stimulants,Age,0-15 Years,16,04/01/2024,04/30/2024,0.031352877,Percent
1,ED,Cannabis,Age,0-15 Years,16,04/01/2024,04/30/2024,0.31178694,Percent
1,ED,Benzodiazepine,Age,0-15 Years,16,04/01/2024,04/30/2024,0.020901918,Percent
1,ED,All Drugs,Age,0-15 Years,17,05/01/2024,05/31/2024,5.297842764,Percent
1,ED,All Opioids,Age,0-15 Years,17,05/01/2024,05/31/2024,0.022310319,Percent
1,ED,Stimulants,Age,0-15 Years,17,05/01/2024,05/31/2024,0.022310319,Percent
1,ED,Cannabis,Age,0-15 Years,17,05/01/2024,05/31/2024,0.338087148,Percent
1,ED,Benzodiazepine,Age,0-15 Years,17,05/01/2024,05/31/2024,0.008580892,Percent
1,ED,All Drugs,Age,0-15 Years,18,06/01/2024,06/30/2024,4.944975831,Percent
1,ED,All Opioids,Age,0-15 Years,18,06/01/2024,06/30/2024,0.018512805,Percent
1,ED,Stimulants,Age,0-15 Years,18,06/01/2024,06/30/2024,0.030854674,Percent
1,ED,Cannabis,Age,0-15 Years,18,06/01/2024,06/30/2024,0.292090918,Percent
1,ED,Benzodiazepine,Age,0-15 Years,18,06/01/2024,06/30/2024,0.016455826,Percent
1,ED,All Drugs,Age,0-15 Years,19,07/01/2024,07/31/2024,4.988330752,Percent
1,ED,All Opioids,Age,0-15 Years,19,07/01/2024,07/31/2024,0.026174014,Percent
1,ED,Stimulants,Age,0-15 Years,19,07/01/2024,07/31/2024,0.03926102,Percent
1,ED,Cannabis,Age,0-15 Years,19,07/01/2024,07/31/2024,0.2573778,Percent
1,ED,Benzodiazepine,Age,0-15 Years,19,07/01/2024,07/31/2024,0.015268175,Percent
1,ED,All Drugs,Age,0-15 Years,20,08/01/2024,08/31/2024,5.510421097,Percent
1,ED,All Opioids,Age,0-15 Years,20,08/01/2024,08/31/2024,0.019140791,Percent
1,ED,Stimulants,Age,0-15 Years,20,08/01/2024,08/31/2024,0.036154828,Percent
1,ED,Cannabis,Age,0-15 Years,20,08/01/2024,08/31/2024,0.236069758,Percent
1,ED,Benzodiazepine,Age,0-15 Years,20,08/01/2024,08/31/2024,0.017014037,Percent
1,ED,All Drugs,Age,0-15 Years,21,09/01/2024,09/30/2024,5.497470489,Percent
1,ED,All Opioids,Age,0-15 Years,21,09/01/2024,09/30/2024,0.024851336,Percent
1,ED,Stimulants,Age,0-15 Years,21,09/01/2024,09/30/2024,0.030176622,Percent
1,ED,Cannabis,Age,0-15 Years,21,09/01/2024,09/30/2024,0.255613739,Percent
1,ED,Benzodiazepine,Age,0-15 Years,21,09/01/2024,09/30/2024,0.012425668,Percent
1,ED,All Drugs,Age,0-15 Years,22,10/01/2024,10/31/2024,5.573053078,Percent
1,ED,All Opioids,Age,0-15 Years,22,10/01/2024,10/31/2024,0.019891921,Percent
1,ED,Stimulants,Age,0-15 Years,22,10/01/2024,10/31/2024,0.023207241,Percent
1,ED,Cannabis,Age,0-15 Years,22,10/01/2024,10/31/2024,0.276829228,Percent
1,ED,Benzodiazepine,Age,0-15 Years,22,10/01/2024,10/31/2024,0.01491894,Percent
1,ED,All Drugs,Age,0-15 Years,23,11/01/2024,11/30/2024,5.341369463,Percent
1,ED,All Opioids,Age,0-15 Years,23,11/01/2024,11/30/2024,0.01826393,Percent
1,ED,Stimulants,Age,0-15 Years,23,11/01/2024,11/30/2024,0.028226074,Percent
1,ED,Cannabis,Age,0-15 Years,23,11/01/2024,11/30/2024,0.224148237,Percent
1,ED,Benzodiazepine,Age,0-15 Years,23,11/01/2024,11/30/2024,0.008301787,Percent
1,ED,All Drugs,Age,0-15 Years,24,12/01/2024,12/31/2024,4.915437208,Percent
1,ED,All Opioids,Age,0-15 Years,24,12/01/2024,12/31/2024,0.015833033,Percent
1,ED,Stimulants,Age,0-15 Years,24,12/01/2024,12/31/2024,0.0259086,Percent
1,ED,Cannabis,Age,0-15 Years,24,12/01/2024,12/31/2024,0.188557035,Percent
1,ED,Benzodiazepine,Age,0-15 Years,24,12/01/2024,12/31/2024,0.011514933,Percent
1,ED,All Drugs,Age,16-34 Years,1,01/01/2023,01/31/2023,23.15015649,Percent
1,ED,All Opioids,Age,16-34 Years,1,01/01/2023,01/31/2023,0.957857195,Percent
1,ED,Stimulants,Age,16-34 Years,1,01/01/2023,01/31/2023,0.828299003,Percent
1,ED,Cannabis,Age,16-34 Years,1,01/01/2023,01/31/2023,2.151539413,Percent
1,ED,Benzodiazepine,Age,16-34 Years,1,01/01/2023,01/31/2023,0.157216682,Percent
1,ED,All Drugs,Age,16-34 Years,2,02/01/2023,02/28/2023,23.5138097,Percent
1,ED,All Opioids,Age,16-34 Years,2,02/01/2023,02/28/2023,0.984705303,Percent
1,ED,Stimulants,Age,16-34 Years,2,02/01/2023,02/28/2023,0.913234757,Percent
1,ED,Cannabis,Age,16-34 Years,2,02/01/2023,02/28/2023,2.231469276,Percent
1,ED,Benzodiazepine,Age,16-34 Years,2,02/01/2023,02/28/2023,0.14929403,Percent
1,ED,All Drugs,Age,16-34 Years,3,03/01/2023,03/31/2023,23.14136126,Percent
1,ED,All Opioids,Age,16-34 Years,3,03/01/2023,03/31/2023,1.010329701,Percent
1,ED,Stimulants,Age,16-34 Years,3,03/01/2023,03/31/2023,0.837696335,Percent
1,ED,Cannabis,Age,16-34 Years,3,03/01/2023,03/31/2023,2.084335645,Percent
1,ED,Benzodiazepine,Age,16-34 Years,3,03/01/2023,03/31/2023,0.172633366,Percent
1,ED,All Drugs,Age,16-34 Years,4,04/01/2023,04/30/2023,22.52450374,Percent
1,ED,All Opioids,Age,16-34 Years,4,04/01/2023,04/30/2023,0.981605814,Percent
1,ED,Stimulants,Age,16-34 Years,4,04/01/2023,04/30/2023,0.918981111,Percent
1,ED,Cannabis,Age,16-34 Years,4,04/01/2023,04/30/2023,2.052051323,Percent
1,ED,Benzodiazepine,Age,16-34 Years,4,04/01/2023,04/30/2023,0.139813291,Percent
1,ED,All Drugs,Age,16-34 Years,5,05/01/2023,05/31/2023,22.68260292,Percent
1,ED,All Opioids,Age,16-34 Years,5,05/01/2023,05/31/2023,0.96036905,Percent
1,ED,Stimulants,Age,16-34 Years,5,05/01/2023,05/31/2023,0.903054449,Percent
1,ED,Cannabis,Age,16-34 Years,5,05/01/2023,05/31/2023,2.077304816,Percent
1,ED,Benzodiazepine,Age,16-34 Years,5,05/01/2023,05/31/2023,0.148179213,Percent
1,ED,All Drugs,Age,16-34 Years,6,06/01/2023,06/30/2023,22.86234081,Percent
1,ED,All Opioids,Age,16-34 Years,6,06/01/2023,06/30/2023,0.958734009,Percent
1,ED,Stimulants,Age,16-34 Years,6,06/01/2023,06/30/2023,0.926968726,Percent
1,ED,Cannabis,Age,16-34 Years,6,06/01/2023,06/30/2023,2.151376014,Percent
1,ED,Benzodiazepine,Age,16-34 Years,6,06/01/2023,06/30/2023,0.108290739,Percent
1,ED,All Drugs,Age,16-34 Years,7,07/01/2023,07/31/2023,22.66638993,Percent
1,ED,All Opioids,Age,16-34 Years,7,07/01/2023,07/31/2023,0.895253909,Percent
1,ED,Stimulants,Age,16-34 Years,7,07/01/2023,07/31/2023,0.911858309,Percent
1,ED,Cannabis,Age,16-34 Years,7,07/01/2023,07/31/2023,1.97730732,Percent
1,ED,Benzodiazepine,Age,16-34 Years,7,07/01/2023,07/31/2023,0.113463401,Percent
1,ED,All Drugs,Age,16-34 Years,8,08/01/2023,08/31/2023,22.29068255,Percent
1,ED,All Opioids,Age,16-34 Years,8,08/01/2023,08/31/2023,0.985828712,Percent
1,ED,Stimulants,Age,16-34 Years,8,08/01/2023,08/31/2023,0.915999178,Percent
1,ED,Cannabis,Age,16-34 Years,8,08/01/2023,08/31/2023,1.937427261,Percent
1,ED,Benzodiazepine,Age,16-34 Years,8,08/01/2023,08/31/2023,0.132813035,Percent
1,ED,All Drugs,Age,16-34 Years,9,09/01/2023,09/30/2023,22.29661247,Percent
1,ED,All Opioids,Age,16-34 Years,9,09/01/2023,09/30/2023,0.927895391,Percent
1,ED,Stimulants,Age,16-34 Years,9,09/01/2023,09/30/2023,0.910765014,Percent
1,ED,Cannabis,Age,16-34 Years,9,09/01/2023,09/30/2023,1.857218312,Percent
1,ED,Benzodiazepine,Age,16-34 Years,9,09/01/2023,09/30/2023,0.117057572,Percent
1,ED,All Drugs,Age,16-34 Years,10,10/01/2023,10/31/2023,22.29296641,Percent
1,ED,All Opioids,Age,16-34 Years,10,10/01/2023,10/31/2023,1.017007093,Percent
1,ED,Stimulants,Age,16-34 Years,10,10/01/2023,10/31/2023,0.861749708,Percent
1,ED,Cannabis,Age,16-34 Years,10,10/01/2023,10/31/2023,2.005526593,Percent
1,ED,Benzodiazepine,Age,16-34 Years,10,10/01/2023,10/31/2023,0.118223514,Percent
1,ED,All Drugs,Age,16-34 Years,11,11/01/2023,11/30/2023,22.21739065,Percent
1,ED,All Opioids,Age,16-34 Years,11,11/01/2023,11/30/2023,0.946154654,Percent
1,ED,Stimulants,Age,16-34 Years,11,11/01/2023,11/30/2023,0.782714309,Percent
1,ED,Cannabis,Age,16-34 Years,11,11/01/2023,11/30/2023,1.968781395,Percent
1,ED,Benzodiazepine,Age,16-34 Years,11,11/01/2023,11/30/2023,0.112458952,Percent
1,ED,All Drugs,Age,16-34 Years,12,12/01/2023,12/31/2023,21.37339685,Percent
1,ED,All Opioids,Age,16-34 Years,12,12/01/2023,12/31/2023,0.794430194,Percent
1,ED,Stimulants,Age,16-34 Years,12,12/01/2023,12/31/2023,0.719677538,Percent
1,ED,Cannabis,Age,16-34 Years,12,12/01/2023,12/31/2023,1.887871015,Percent
1,ED,Benzodiazepine,Age,16-34 Years,12,12/01/2023,12/31/2023,0.082081348,Percent
1,ED,All Drugs,Age,16-34 Years,13,01/01/2024,01/31/2024,21.56011595,Percent
1,ED,All Opioids,Age,16-34 Years,13,01/01/2024,01/31/2024,0.806160857,Percent
1,ED,Stimulants,Age,16-34 Years,13,01/01/2024,01/31/2024,0.732611298,Percent
1,ED,Cannabis,Age,16-34 Years,13,01/01/2024,01/31/2024,1.903635656,Percent
1,ED,Benzodiazepine,Age,16-34 Years,13,01/01/2024,01/31/2024,0.090855338,Percent
1,ED,All Drugs,Age,16-34 Years,14,02/01/2024,02/29/2024,21.21055982,Percent
1,ED,All Opioids,Age,16-34 Years,14,02/01/2024,02/29/2024,0.781984057,Percent
1,ED,Stimulants,Age,16-34 Years,14,02/01/2024,02/29/2024,0.741066287,Percent
1,ED,Cannabis,Age,16-34 Years,14,02/01/2024,02/29/2024,1.92313521,Percent
1,ED,Benzodiazepine,Age,16-34 Years,14,02/01/2024,02/29/2024,0.106083109,Percent
1,ED,All Drugs,Age,16-34 Years,15,03/01/2024,03/31/2024,21.16903867,Percent
1,ED,All Opioids,Age,16-34 Years,15,03/01/2024,03/31/2024,0.853626061,Percent
1,ED,Stimulants,Age,16-34 Years,15,03/01/2024,03/31/2024,0.862502589,Percent
1,ED,Cannabis,Age,16-34 Years,15,03/01/2024,03/31/2024,2.054916117,Percent
1,ED,Benzodiazepine,Age,16-34 Years,15,03/01/2024,03/31/2024,0.110956594,Percent
1,ED,All Drugs,Age,16-34 Years,16,04/01/2024,04/30/2024,20.74528989,Percent
1,ED,All Opioids,Age,16-34 Years,16,04/01/2024,04/30/2024,0.79108983,Percent
1,ED,Stimulants,Age,16-34 Years,16,04/01/2024,04/30/2024,0.804472929,Percent
1,ED,Cannabis,Age,16-34 Years,16,04/01/2024,04/30/2024,1.912296094,Percent
1,ED,Benzodiazepine,Age,16-34 Years,16,04/01/2024,04/30/2024,0.105577778,Percent
1,ED,All Drugs,Age,16-34 Years,17,05/01/2024,05/31/2024,21.20869811,Percent
1,ED,All Opioids,Age,16-34 Years,17,05/01/2024,05/31/2024,0.752612256,Percent
1,ED,Stimulants,Age,16-34 Years,17,05/01/2024,05/31/2024,0.794973171,Percent
1,ED,Cannabis,Age,16-34 Years,17,05/01/2024,05/31/2024,2.060152499,Percent
1,ED,Benzodiazepine,Age,16-34 Years,17,05/01/2024,05/31/2024,0.093194013,Percent
1,ED,All Drugs,Age,16-34 Years,18,06/01/2024,06/30/2024,21.15461417,Percent
1,ED,All Opioids,Age,16-34 Years,18,06/01/2024,06/30/2024,0.767671987,Percent
1,ED,Stimulants,Age,16-34 Years,18,06/01/2024,06/30/2024,0.888961202,Percent
1,ED,Cannabis,Age,16-34 Years,18,06/01/2024,06/30/2024,2.069312349,Percent
1,ED,Benzodiazepine,Age,16-34 Years,18,06/01/2024,06/30/2024,0.105018711,Percent
1,ED,All Drugs,Age,16-34 Years,19,07/01/2024,07/31/2024,21.1381659,Percent
1,ED,All Opioids,Age,16-34 Years,19,07/01/2024,07/31/2024,0.783205829,Percent
1,ED,Stimulants,Age,16-34 Years,19,07/01/2024,07/31/2024,0.787401575,Percent
1,ED,Cannabis,Age,16-34 Years,19,07/01/2024,07/31/2024,2.015356429,Percent
1,ED,Benzodiazepine,Age,16-34 Years,19,07/01/2024,07/31/2024,0.107690802,Percent
1,ED,All Drugs,Age,16-34 Years,20,08/01/2024,08/31/2024,21.19452162,Percent
1,ED,All Opioids,Age,16-34 Years,20,08/01/2024,08/31/2024,0.829296215,Percent
1,ED,Stimulants,Age,16-34 Years,20,08/01/2024,08/31/2024,0.894913929,Percent
1,ED,Cannabis,Age,16-34 Years,20,08/01/2024,08/31/2024,1.999246094,Percent
1,ED,Benzodiazepine,Age,16-34 Years,20,08/01/2024,08/31/2024,0.09772851,Percent
1,ED,All Drugs,Age,16-34 Years,21,09/01/2024,09/30/2024,20.98949024,Percent
1,ED,All Opioids,Age,16-34 Years,21,09/01/2024,09/30/2024,0.737827983,Percent
1,ED,Stimulants,Age,16-34 Years,21,09/01/2024,09/30/2024,0.759276471,Percent
1,ED,Cannabis,Age,16-34 Years,21,09/01/2024,09/30/2024,1.851719454,Percent
1,ED,Benzodiazepine,Age,16-34 Years,21,09/01/2024,09/30/2024,0.127261028,Percent
1,ED,All Drugs,Age,16-34 Years,22,10/01/2024,10/31/2024,21.38813788,Percent
1,ED,All Opioids,Age,16-34 Years,22,10/01/2024,10/31/2024,0.667455221,Percent
1,ED,Stimulants,Age,16-34 Years,22,10/01/2024,10/31/2024,0.781514025,Percent
1,ED,Cannabis,Age,16-34 Years,22,10/01/2024,10/31/2024,1.974202997,Percent
1,ED,Benzodiazepine,Age,16-34 Years,22,10/01/2024,10/31/2024,0.11265067,Percent
1,ED,All Drugs,Age,16-34 Years,23,11/01/2024,11/30/2024,21.6840888,Percent
1,ED,All Opioids,Age,16-34 Years,23,11/01/2024,11/30/2024,0.759270248,Percent
1,ED,Stimulants,Age,16-34 Years,23,11/01/2024,11/30/2024,0.789701922,Percent
1,ED,Cannabis,Age,16-34 Years,23,11/01/2024,11/30/2024,2.008490437,Percent
1,ED,Benzodiazepine,Age,16-34 Years,23,11/01/2024,11/30/2024,0.111075607,Percent
1,ED,All Drugs,Age,16-34 Years,24,12/01/2024,12/31/2024,20.92527545,Percent
1,ED,All Opioids,Age,16-34 Years,24,12/01/2024,12/31/2024,0.633462428,Percent
1,ED,Stimulants,Age,16-34 Years,24,12/01/2024,12/31/2024,0.664985439,Percent
1,ED,Cannabis,Age,16-34 Years,24,12/01/2024,12/31/2024,1.660211955,Percent
1,ED,Benzodiazepine,Age,16-34 Years,24,12/01/2024,12/31/2024,0.067549311,Percent
1,ED,All Drugs,Age,35-54 Years,1,01/01/2023,01/31/2023,33.57613923,Percent
1,ED,All Opioids,Age,35-54 Years,1,01/01/2023,01/31/2023,1.62758275,Percent
1,ED,Stimulants,Age,35-54 Years,1,01/01/2023,01/31/2023,1.527327412,Percent
1,ED,Cannabis,Age,35-54 Years,1,01/01/2023,01/31/2023,1.223428419,Percent
1,ED,Benzodiazepine,Age,35-54 Years,1,01/01/2023,01/31/2023,0.186412269,Percent
1,ED,All Drugs,Age,35-54 Years,2,02/01/2023,02/28/2023,33.17031169,Percent
1,ED,All Opioids,Age,35-54 Years,2,02/01/2023,02/28/2023,1.644566902,Percent
1,ED,Stimulants,Age,35-54 Years,2,02/01/2023,02/28/2023,1.594627174,Percent
1,ED,Cannabis,Age,35-54 Years,2,02/01/2023,02/28/2023,1.329429998,Percent
1,ED,Benzodiazepine,Age,35-54 Years,2,02/01/2023,02/28/2023,0.201480971,Percent
1,ED,All Drugs,Age,35-54 Years,3,03/01/2023,03/31/2023,32.51340369,Percent
1,ED,All Opioids,Age,35-54 Years,3,03/01/2023,03/31/2023,1.589901269,Percent
1,ED,Stimulants,Age,35-54 Years,3,03/01/2023,03/31/2023,1.430756632,Percent
1,ED,Cannabis,Age,35-54 Years,3,03/01/2023,03/31/2023,1.180451476,Percent
1,ED,Benzodiazepine,Age,35-54 Years,3,03/01/2023,03/31/2023,0.185411227,Percent
1,ED,All Drugs,Age,35-54 Years,4,04/01/2023,04/30/2023,32.3604588,Percent
1,ED,All Opioids,Age,35-54 Years,4,04/01/2023,04/30/2023,1.530400332,Percent
1,ED,Stimulants,Age,35-54 Years,4,04/01/2023,04/30/2023,1.437745615,Percent
1,ED,Cannabis,Age,35-54 Years,4,04/01/2023,04/30/2023,1.226876258,Percent
1,ED,Benzodiazepine,Age,35-54 Years,4,04/01/2023,04/30/2023,0.218856832,Percent
1,ED,All Drugs,Age,35-54 Years,5,05/01/2023,05/31/2023,32.44671988,Percent
